raceId,circuitType_RACE,circuitType_ROAD,circuitType_STREET,Bgap_mean,Bgap_median,Bgap_std,Bgap_var,First_ten_gap,Bgap_average
421,True,False,False,688.7,537.5,667.1232344926985,445053.41,6887.0,688.7
422,True,False,False,695.5,430.5,663.5738466817389,440330.25,5564.0,695.5
423,True,False,False,362.1111111111111,308.0,202.8378906332424,41143.20987654321,3259.0,362.1111111111111
424,False,False,True,334.75,275.0,312.7163584357769,97791.52083333331,3280.0,334.75
425,True,False,False,527.0769230769231,254.0,557.0651752420497,310321.6094674556,3770.0,527.0769230769231
426,False,False,True,666.25,517.5,779.3712342865455,607419.5208333334,4521.0,666.25
427,False,False,True,610.0,571.5,573.9879789682011,329462.2,6100.0,610.0
428,True,False,False,269.3333333333333,220.5,247.11985396204452,61068.22222222223,2681.0,269.3333333333333
429,True,False,False,604.8,473.5,619.1455079381583,383341.16,6048.0,604.8
430,True,False,False,1245.5,422.5,2360.4109282072054,5571539.75,5505.0,1245.5
431,True,False,False,703.5,512.0,667.1707802354656,445116.85,7035.0,703.5
432,True,False,False,931.3636363636364,751.0,909.180877366322,826609.867768595,8769.0,931.3636363636364
433,True,False,False,1092.5454545454545,332.0,1829.0609793322096,3345464.066115703,5317.0,1092.5454545454545
434,True,False,False,783.6923076923077,335.0,1180.9901572321803,1394737.75147929,5256.0,783.6923076923077
435,True,False,False,598.9375,384.0,736.775361690217,542837.93359375,3208.0,598.9375
436,False,False,True,432.9090909090909,340.0,332.7465468833748,110720.26446280992,4294.0,432.9090909090909
437,True,False,False,1052.923076923077,493.0,1119.6093042141265,1253524.99408284,9084.0,1052.923076923077
438,True,False,False,794.8461538461538,691.0,718.0053402580327,515531.6686390533,6482.0,794.8461538461538
439,True,False,False,1317.5,976.5,1317.8239829355057,1736660.05,13175.0,1317.5
440,False,False,True,612.0,328.0,501.2060838233495,251207.53846153847,5436.0,612.0
441,False,False,True,1198.3333333333333,502.5,1952.0518407278248,3810506.3888888895,6476.0,1198.3333333333333
442,True,False,False,916.1111111111112,284.0,1458.0686955653546,2125964.3209876544,8245.0,916.1111111111112
443,True,False,False,1236.3333333333333,791.0,1771.8502570288872,3139453.333333333,11127.0,1236.3333333333333
444,True,False,False,1936.3333333333333,897.5,2464.415053426585,6073341.555555555,11618.0,1936.3333333333333
445,True,False,False,691.6428571428571,481.5,542.3365595988814,294128.94387755106,5848.0,691.6428571428571
446,True,False,False,1151.7333333333331,678.0,1515.997250070798,2298247.662222222,7325.0,1151.7333333333331
447,True,False,False,615.6875,254.5,836.6304977968172,699950.58984375,5486.0,615.6875
448,True,False,False,471.2142857142857,251.0,524.7858309513957,275400.16836734687,4164.0,471.2142857142857
449,True,False,False,442.3125,305.0,410.8299098699485,168781.21484375,4601.0,442.3125
450,True,False,False,880.2222222222222,529.0,949.226325637859,901030.6172839508,7922.0,880.2222222222222
451,True,False,False,646.6,349.0,788.2850415088864,621393.3066666668,4235.0,646.6
452,False,False,True,710.2222222222222,563.0,753.5897465948163,567897.5061728396,6392.0,710.2222222222222
453,True,False,False,644.1111111111111,443.0,597.8382249487537,357410.5432098766,5797.0,644.1111111111111
454,True,False,False,401.7894736842105,229.0,562.6969436699585,316627.8504155125,4499.0,401.7894736842105
455,False,False,True,491.0,458.5,394.7824717486834,155853.2,4910.0,491.0
456,True,False,False,410.25,155.5,465.91462468997474,217076.4375,5610.0,410.25
457,False,False,True,427.4285714285714,281.5,543.5307474921615,295425.6734693877,4084.0,427.4285714285714
458,False,False,True,646.2222222222222,536.0,505.0629834822095,255088.61728395065,5816.0,646.2222222222222
459,True,False,False,308.5,258.5,258.1641919399358,66648.75,3390.0,308.5
460,True,False,False,283.89473684210526,153.0,338.704636851831,114720.83102493074,2851.0,283.89473684210526
461,True,False,False,444.578947368421,234.0,397.488605038854,157997.1911357341,5863.0,444.578947368421
462,True,False,False,383.0,335.0,247.72317055691263,61366.769230769234,4011.0,383.0
463,True,False,False,587.1428571428571,309.0,910.7523465436112,829469.8367346938,6692.0,587.1428571428571
464,True,False,False,485.84615384615387,477.0,411.9445157101483,169698.28402366862,4061.0,485.84615384615387
465,True,False,False,396.5833333333333,350.5,264.19767168206124,69800.40972222223,4379.0,396.5833333333333
466,True,False,False,279.2857142857143,183.5,241.3800881157672,58264.34693877552,2765.0,279.2857142857143
467,True,False,False,396.2352941176471,324.0,392.8285854897205,154314.29757785468,4063.0,396.2352941176471
468,False,False,True,405.7272727272728,223.0,466.0913080481297,217241.1074380165,4240.0,405.7272727272728
469,True,False,False,407.6428571428572,228.5,387.9991912993887,150543.3724489796,4271.0,407.6428571428572
470,True,False,False,378.3076923076923,225.0,504.06995616685896,254086.52071005912,4223.0,378.3076923076923
471,False,False,True,359.8666666666667,248.0,340.6587474617703,116048.3822222222,4291.0,359.8666666666667
472,True,False,False,263.6666666666667,114.0,294.89855129443333,86965.15555555554,3263.0,263.6666666666667
473,False,False,True,259.0,146.0,345.1347562909305,119118.0,2331.0,259.0
474,False,False,True,459.75,528.5,308.97481693497286,95465.4375,3678.0,459.75
475,True,False,False,226.3571428571429,83.0,379.9157062791048,144335.943877551,2465.0,226.3571428571429
476,True,False,False,323.5,262.0,232.26296160458588,53946.083333333336,3063.0,323.5
477,True,False,False,508.0,366.5,411.3090889667607,169175.16666666666,5579.0,508.0
478,True,False,False,258.46153846153845,172.0,237.20410405861136,56265.78698224852,2335.0,258.46153846153845
479,True,False,False,385.0,131.5,571.3752050973161,326469.625,5248.0,385.0
480,True,False,False,414.45454545454544,296.0,362.19943367165297,131188.42975206612,3951.0,414.45454545454544
481,True,False,False,221.8571428571429,152.0,271.8959509872578,73927.4081632653,2327.0,221.8571428571429
482,True,False,False,293.1,209.5,262.8019977093021,69064.89000000001,2931.0,293.1
483,True,False,False,266.3,260.0,183.8608441185888,33804.81,2663.0,266.3
484,False,False,True,321.0,132.0,354.1846269955826,125446.75,2568.0,321.0
485,False,False,True,298.07142857142856,75.5,353.0039385222846,124611.7806122449,2516.0,298.07142857142856
486,True,False,False,240.92857142857144,241.5,157.9780564715575,24957.06632653061,2352.0,240.92857142857144
487,True,False,False,375.84615384615387,350.0,319.16883551206905,101868.7455621302,3433.0,375.84615384615387
488,False,False,True,583.4285714285714,487.0,534.356450626855,285536.8163265306,4084.0,583.4285714285714
489,False,False,True,362.61538461538464,174.0,345.0209666898829,119039.46745562128,3516.0,362.61538461538464
490,True,False,False,194.45,161.5,168.9607868708003,28547.7475,1724.0,194.45
491,True,False,False,195.77777777777777,163.5,192.9169526435765,37216.95061728395,1584.0,195.77777777777777
492,True,False,False,236.8571428571429,168.0,248.65548660829535,61829.55102040816,2776.0,236.8571428571429
493,True,False,False,554.9166666666666,523.0,349.27173240266035,121990.74305555556,5406.0,554.9166666666666
494,True,False,False,247.4705882352941,124.0,242.09966777124683,58612.24913494808,2478.0,247.4705882352941
495,True,False,False,334.7058823529412,131.0,424.711495807778,180379.85467128025,3886.0,334.7058823529412
496,True,False,False,386.0,215.0,425.9302424441958,181416.57142857145,4877.0,386.0
497,True,False,False,247.46666666666667,188.0,223.42780091613983,49919.98222222223,2733.0,247.46666666666667
498,True,False,False,433.7,493.0,296.7413183228786,88055.40999999999,4337.0,433.7
499,True,False,False,394.6,280.0,367.8252846121376,135295.44,3946.0,394.6
